N	PI	US
1	327971	175774
2	141478	267952
3	760979	267952
4	267948	117897
5	177919	304391
6	216505	769552
7	1037504	750262
8	3652698	4192883
9	11746922	14344965
10	34809921	27744621
11	51662904	38777719
12	5181083	7223932
13	949614	668804
14	64308	57878
15	147911	207931
16	45017	647370
17	621643	1757746
18	433006	289386
19	1521954	1762039
20	5577648	6430802
21	11929132	16347089
22	32533421	44634042
23	45167800	72779519
24	26064035	25210884
25	2415840	2930309
26	357983	636652
27	45017	190783
28	235797	366558
29	45016	72884
30	831718	908886
31	1470508	1611988
32	3845621	3596959
33	7875585	9200336
34	24533502	19729693
35	48734737	44183881
36	13907686	16649351
37	499459	1389053
38	733112	503746
39	57878	222939
40	42873	115755
41	180063	947472
42	398710	615214
43	1547679	2936735
44	3939937	5363289
45	8572261	9774816
46	20008369	30554875
47	54065880	87632515
48	18188455	19515348
49	1384770	2475862
50	848870	1635573
51	145764	152195
52	291533	87889
53	27867	336545
54	662371	411573
55	1714878	1446939
56	3013902	2413693
57	10087783	7350408
58	25249464	29727442
59	68265091	52113067
60	24923638	28880728
61	1393342	3545518
62	113611	368702
63	435151	836006
64	242227	216503
65	70740	105037
66	662372	409428
67	1875650	1626991
68	3095358	3993529
69	6190720	7729823
70	22218417	26904323
71	35793833	38880619
72	3170386	1783479
73	589490	700959
74	300106	1009637
75	520897	465164
76	6431	233655
77	381561	1178979
78	799562	1326889
79	3656979	3792023
80	11511134	12306410
81	23579600	18469255
82	54700393	75587629
83	114343914	150431425
84	27963270	41958825
85	7601204	4563730
86	347265	1459791
87	139335	137194
88	68596	231510
89	126473	280817
90	630218	345119
91	1631284	1845646
92	4068554	2928158
93	5318274	5534784
94	12570071	11999870
95	28464864	30925723
96	27193711	26422012
97	3455486	2465142
98	306536	295822
99	113611	259374
100	109324	233653
101	267950	683807
102	733111	484454
103	660232	803855
104	1116818	1050367
105	5957068	4372947
106	8895945	8865938
107	13367490	19146638
108	4790945	2645203
109	317252	304392
110	192927	349410
111	375132	424433
112	448014	986056
113	235797	741689
114	2409408	2580904
115	2192903	3311865
116	9635481	10139223
117	23875411	22747883
118	76809482	71806320
119	109072807	158992972
120	15787615	23907567
121	1659150	1404063
122	377274	1421205
123	186493	259376
124	276524	8574
125	115755	190780
126	1633427	2330100
127	2319377	3144664
128	4872405	3916362
129	9442559	5706262
130	23135882	23605332
131	62190116	65420527
132	4520850	6092117
133	349406	923893
134	203642	332258
135	177918	853153
136	255088	563765
137	426577	510176
138	823145	743830
139	1026786	1738461
140	4293631	2973178
141	8507948	14859439
142	35558035	31489481
143	91769666	104736302
144	24655685	38192521
145	1007490	1080373
146	868158	994635
147	70739	533756
148	460873	1521955
149	132905	752405
150	319398	1024641
151	450157	1296884
152	2490862	1785621
153	9043845	4795233
154	16966598	12514343
155	34775623	22919370
156	7989201	8765188
157	242228	818855
158	171488	347266
159	51448	246516
160	336544	396565
161	109324	392280
162	443727	576630
163	1427639	979624
164	4004243	3161815
165	7558335	2542312
166	34777766	25875399
167	46102406	47114198
168	48393917	65109710
169	1178981	2126457
170	465165	1564835
171	443725	808139
172	240082	409428
173	132903	370843
174	32155	287243
175	1359046	1198277
176	3772740	2863852
177	8025637	4008532
178	14803704	11073842
179	62293023	39444393
180	38974940	52522491
181	2818837	5611947
182	1329031	3762021
183	407285	505889
184	773840	2169324
185	563767	681664
186	694526	1699875
187	3320436	2029994
188	7153197	3721294
189	16887283	11378235
190	30079007	21240950
191	39596584	42499016
192	10958081	11804806
193	2396548	3882060
194	162915	377274
195	102892	602352
196	548762	1378336
197	428719	664517
198	640938	829577
199	1727742	1676296
200	2132881	1704165
201	9541169	3710571
202	21318104	28368406
203	77278926	64262977
204	26659955	67508397
205	743834	1434074
206	336544	1067515
207	126473	237939
208	227223	1320457
209	868158	870303
210	469448	203643
211	1738461	2276502
212	2988179	2034277
213	5331135	1710595
214	8795196	5166086
215	23609607	14636498
216	2741666	4300062
