File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
MCD64A1_006_Burn_Date_doy2001001_aid0001,Burn_Date,aid0001,2001-01-01,9521870.0,0.0,31.0,"(0.0,31.0)",0.0057099,0.364226,0.1326606,0.0,0.0,0.0,0.0,0.0
MCD64A1_006_Burn_Date_doy2001032_aid0001,Burn_Date,aid0001,2001-02-01,9100200.0,0.0,59.0,"(0.0,59.0)",0.0050035,0.4892835,0.2393984,0.0,0.0,0.0,0.0,0.0
MCD64A1_006_Burn_Date_doy2001060_aid0001,Burn_Date,aid0001,2001-03-01,9439618.0,0.0,90.0,"(0.0,90.0)",0.0227529,1.3299209,1.7686896,0.0,0.0,0.0,0.0,0.0
MCD64A1_006_Burn_Date_doy2001091_aid0001,Burn_Date,aid0001,2001-04-01,9750453.0,0.0,120.0,"(0.0,120.0)",0.0270619,1.6886284,2.8514658,0.0,0.0,0.0,0.0,0.0
MCD64A1_006_Burn_Date_doy2001121_aid0001,Burn_Date,aid0001,2001-05-01,9834459.0,0.0,151.0,"(0.0,151.0)",0.0661897,3.0163404,9.0983094,0.0,0.0,0.0,0.0,0.0
MCD64A1_006_Burn_Date_doy2001152_aid0001,Burn_Date,aid0001,2001-06-01,9896023.0,0.0,177.0,"(0.0,177.0)",0.3527075,7.7471693,60.0186314,0.0,0.0,0.0,0.0,0.0
MCD64A1_006_Burn_Date_doy2001182_aid0001,Burn_Date,aid0001,2001-07-01,9898307.0,0.0,212.0,"(0.0,212.0)",0.9881523,14.0022719,196.0636178,0.0,0.0,0.0,0.0,0.0
MCD64A1_006_Burn_Date_doy2001213_aid0001,Burn_Date,aid0001,2001-08-01,9899010.0,0.0,243.0,"(0.0,243.0)",4.0419675,30.1169695,907.0318543,0.0,0.0,0.0,0.0,0.0
MCD64A1_006_Burn_Date_doy2001244_aid0001,Burn_Date,aid0001,2001-09-01,9898168.0,0.0,273.0,"(0.0,273.0)",4.3065547,32.9261671,1084.1324829,0.0,0.0,0.0,0.0,0.0
MCD64A1_006_Burn_Date_doy2001274_aid0001,Burn_Date,aid0001,2001-10-01,9793245.0,0.0,304.0,"(0.0,304.0)",0.636345,13.3408254,177.9776223,0.0,0.0,0.0,0.0,0.0
MCD64A1_006_Burn_Date_doy2001305_aid0001,Burn_Date,aid0001,2001-11-01,9437770.0,0.0,334.0,"(0.0,334.0)",0.1531328,6.9650409,48.5117954,0.0,0.0,0.0,0.0,0.0
MCD64A1_006_Burn_Date_doy2001335_aid0001,Burn_Date,aid0001,2001-12-01,8853044.0,0.0,365.0,"(0.0,365.0)",0.0438067,3.8953893,15.1740576,0.0,0.0,0.0,0.0,0.0
MCD64A1_006_Burn_Date_doy2002001_aid0001,Burn_Date,aid0001,2002-01-01,9404755.0,0.0,31.0,"(0.0,31.0)",0.0040409,0.3164037,0.1001113,0.0,0.0,0.0,0.0,0.0
MCD64A1_006_Burn_Date_doy2002032_aid0001,Burn_Date,aid0001,2002-02-01,9566053.0,0.0,59.0,"(0.0,59.0)",0.0092609,0.6797559,0.4620681,0.0,0.0,0.0,0.0,0.0
MCD64A1_006_Burn_Date_doy2002060_aid0001,Burn_Date,aid0001,2002-03-01,9819112.0,0.0,90.0,"(0.0,90.0)",0.0494665,1.980293,3.9215606,0.0,0.0,0.0,0.0,0.0
MCD64A1_006_Burn_Date_doy2002091_aid0001,Burn_Date,aid0001,2002-04-01,9879544.0,0.0,120.0,"(0.0,120.0)",0.0285974,1.7617694,3.1038315,0.0,0.0,0.0,0.0,0.0
MCD64A1_006_Burn_Date_doy2002121_aid0001,Burn_Date,aid0001,2002-05-01,9895407.0,0.0,151.0,"(0.0,151.0)",0.1623373,4.7283335,22.3571372,0.0,0.0,0.0,0.0,0.0
MCD64A1_006_Burn_Date_doy2002152_aid0001,Burn_Date,aid0001,2002-06-01,9896851.0,0.0,181.0,"(0.0,181.0)",0.4411739,8.6479429,74.7869156,0.0,0.0,0.0,0.0,0.0
MCD64A1_006_Burn_Date_doy2002182_aid0001,Burn_Date,aid0001,2002-07-01,9897176.0,0.0,212.0,"(0.0,212.0)",1.0579959,14.3837771,206.8930449,0.0,0.0,0.0,0.0,0.0
MCD64A1_006_Burn_Date_doy2002213_aid0001,Burn_Date,aid0001,2002-08-01,9897248.0,0.0,243.0,"(0.0,243.0)",4.3923804,31.4741085,990.6195058,0.0,0.0,0.0,0.0,0.0
MCD64A1_006_Burn_Date_doy2002244_aid0001,Burn_Date,aid0001,2002-09-01,9897194.0,0.0,273.0,"(0.0,273.0)",6.1178235,39.257659,1541.1637896,0.0,0.0,0.0,0.0,0.0
MCD64A1_006_Burn_Date_doy2002274_aid0001,Burn_Date,aid0001,2002-10-01,9897026.0,0.0,304.0,"(0.0,304.0)",2.7727011,28.0051145,784.2864405,0.0,0.0,0.0,0.0,0.0
MCD64A1_006_Burn_Date_doy2002305_aid0001,Burn_Date,aid0001,2002-11-01,9896581.0,0.0,334.0,"(0.0,334.0)",0.4140453,11.5043197,132.3493719,0.0,0.0,0.0,0.0,0.0
MCD64A1_006_Burn_Date_doy2002335_aid0001,Burn_Date,aid0001,2002-12-01,9895889.0,0.0,365.0,"(0.0,365.0)",0.0932501,5.6702384,32.151603,0.0,0.0,0.0,0.0,0.0
MCD64A1_006_Burn_Date_doy2003001_aid0001,Burn_Date,aid0001,2003-01-01,9893103.0,0.0,31.0,"(0.0,31.0)",0.0038675,0.3074082,0.0944998,0.0,0.0,0.0,0.0,0.0
