x	BA
layer.1	2620
layer.2	976
layer.3	2801
layer.4	2520
layer.5	4752
layer.6	20507
layer.7	49158
layer.8	175403
layer.9	166653
layer.10	22247
layer.11	4563
layer.12	1120
layer.13	1729
layer.14	1814
layer.15	6163
layer.16	2621
layer.17	11695
layer.18	25750
layer.19	53372
layer.20	189300
layer.21	234841
layer.22	96143
layer.23	12811
layer.24	2677
layer.25	1822
layer.26	3138
layer.27	4494
layer.28	4764
layer.29	12019
layer.30	26101
layer.31	48015
layer.32	92446
layer.33	190739
layer.34	55144
layer.35	6416
layer.36	3606
layer.37	1436
layer.38	1345
layer.39	12269
layer.40	3671
layer.41	12711
layer.42	23604
layer.43	41404
layer.44	102522
layer.45	275680
layer.46	73623
layer.47	16577
layer.48	7236
layer.49	1113
layer.50	1857
layer.51	2828
layer.52	4624
layer.53	11735
layer.54	15667
layer.55	45081
layer.56	133996
layer.57	207555
layer.58	124523
layer.59	16713
layer.60	1924
layer.61	3886
layer.62	1802
layer.63	2459
layer.64	4070
layer.65	12401
layer.66	16672
layer.67	38604
layer.68	101181
layer.69	130659
layer.70	14562
layer.71	8543
layer.72	4528
layer.73	4146
layer.74	4535
layer.75	11293
layer.76	4551
layer.77	17228
layer.78	41958
layer.79	85094
layer.80	294910
layer.81	492823
layer.82	163281
layer.83	28627
layer.84	5580
layer.85	1318
layer.86	1775
layer.87	3354
layer.88	3056
layer.89	9705
layer.90	15498
layer.91	28462
layer.92	80415
layer.93	150162
layer.94	126528
layer.95	21319
layer.96	3931
layer.97	1933
layer.98	3384
layer.99	10196
layer.100	3075
layer.101	7037
layer.102	12516
layer.103	26008
layer.104	52340
layer.105	62797
layer.106	14801
layer.107	6680
layer.108	2952
layer.109	5614
layer.110	7126
layer.111	4578
layer.112	9549
layer.113	20613
layer.114	44572
layer.115	112350
layer.116	322133
layer.117	553776
layer.118	96593
layer.119	12625
layer.120	7282
layer.121	2229
layer.122	858
layer.123	6037
layer.124	5924
layer.125	11378
layer.126	17092
layer.127	29133
layer.128	91588
layer.129	256400
layer.130	30383
layer.131	5756
layer.132	5147
layer.133	3739
layer.134	5549
layer.135	5021
layer.136	3635
layer.137	8941
layer.138	16824
layer.139	64716
layer.140	221762
layer.141	363727
layer.142	135837
layer.143	7267
layer.144	6347
layer.145	1684
layer.146	9679
layer.147	4810
layer.148	2311
layer.149	5923
layer.150	10893
layer.151	25120
layer.152	70106
layer.153	129086
layer.154	47179
layer.155	6907
layer.156	2075
layer.157	2023
layer.158	2447
layer.159	3994
layer.160	3525
layer.161	7874
layer.162	19087
layer.163	35225
layer.164	140322
layer.165	173264
layer.166	148526
layer.167	8361
layer.168	4799
layer.169	5689
layer.170	3703
layer.171	3504
layer.172	1914
layer.173	6877
layer.174	16413
layer.175	30594
layer.176	90591
layer.177	228762
layer.178	175290
layer.179	21986
layer.180	14664
layer.181	3896
layer.182	5073
layer.183	6636
layer.184	7059
layer.185	10287
layer.186	19140
layer.187	62217
layer.188	141922
layer.189	153305
layer.190	58463
layer.191	18106
layer.192	2803
layer.193	2355
layer.194	5673
layer.195	10010
layer.196	3631
layer.197	7889
layer.198	13072
layer.199	34709
layer.200	97690
layer.201	288622
layer.202	134795
layer.203	7689
layer.204	5665
layer.205	1927
layer.206	9769
layer.207	7804
layer.208	2259
layer.209	9098
layer.210	12095
layer.211	19854
layer.212	63697
layer.213	99328
layer.214	27418
layer.215	4045
layer.216	3528
layer.217	10897
layer.218	11146
layer.219	10248
layer.220	2570
layer.221	8616
layer.222	19616
layer.223	34760
layer.224	125129
layer.225	252528
layer.226	64019
layer.227	13964
layer.228	6489
layer.229	6993
layer.230	10544
layer.231	13512
layer.232	4113
layer.233	7784
layer.234	13935
layer.235	27022
layer.236	80713
layer.237	234858
layer.238	132840
layer.239	7860
layer.240	3320
