"V1"	"V2"	"x"	"y"
"67"	"Formafho Pioneira com influmncia fluviomarinha arbnrea"	"Pfm"	"-43.375"	"-2.375"
"140"	"Savana Arborizada sem floresta-de-galeria"	"Sas"	"-43.625"	"-2.625"
"141"	"Savana Arborizada sem floresta-de-galeria"	"Sas"	"-43.375"	"-2.625"
"142"	"Dunas"	"Dn"	"-43.125"	"-2.625"
"143"	"Dunas"	"Dn"	"-42.875"	"-2.625"
"213"	"Savana Arborizada sem floresta-de-galeria"	"Sas"	"-43.875"	"-2.875"
"214"	"Savana Arborizada sem floresta-de-galeria"	"Sas"	"-43.625"	"-2.875"
"215"	"Savana Arborizada sem floresta-de-galeria"	"Sas"	"-43.375"	"-2.875"
"216"	"Savana Arborizada sem floresta-de-galeria"	"Sas"	"-43.125"	"-2.875"
"217"	"Savana Parque sem floresta-de-galeria"	"Sps"	"-42.875"	"-2.875"
"218"	"Savana Parque sem floresta-de-galeria"	"Sps"	"-42.625"	"-2.875"
"219"	"Savana Parque sem floresta-de-galeria"	"Sps"	"-42.375"	"-2.875"
"220"	"Savana Arborizada sem floresta-de-galeria"	"Sas"	"-42.125"	"-2.875"
"221"	"Formaaho Pioneira com influmncia fluvial e/ou lacustre palmeiral"	"Pap"	"-41.875"	"-2.875"
"287"	"Savana Arborizada sem floresta-de-galeria"	"Sas"	"-43.875"	"-3.125"
"288"	"Savana Arborizada sem floresta-de-galeria"	"Sas"	"-43.625"	"-3.125"
"289"	"Savana Arborizada sem floresta-de-galeria"	"Sas"	"-43.375"	"-3.125"
"290"	"Savana Arborizada sem floresta-de-galeria"	"Sas"	"-43.125"	"-3.125"
"291"	"Savana Arborizada sem floresta-de-galeria"	"Sas"	"-42.875"	"-3.125"
"292"	"Savana Parque sem floresta-de-galeria"	"Sps"	"-42.625"	"-3.125"
"293"	"Savana Arborizada sem floresta-de-galeria"	"Sas"	"-42.375"	"-3.125"
"294"	"Savana Arborizada sem floresta-de-galeria"	"Sas"	"-42.125"	"-3.125"
"359"	NA	NA	"-44.375"	"-3.375"
