"Term","EDF","Ref_DF","F_stat","P_value"
"te(month,x,y)",437.203167510806,487.376298904369,38.0593450340388,0
"s(t)",18.9342030918747,18.9993019080881,252.891582063542,0
"s(months_since_fire)",10.9672923115209,12.225630247408,21.9347934938433,0
"s(dewpoint_temp_sd)",4.52051916570053,5.4862644066336,6.75658827828447,-1.91676430072452e-06
"s(pot_evap_sd)",4.97240424442056,5.97207047127342,4.76582928496359,4.50476162485169e-05
"s(precip_min)",1.03182701394485,1.06287959316132,0.0891239819240643,0.826007127028294
"s(solrad_mean)",7.29658702425646,8.0367045031799,22.92073759373,0
"s(total_evap_max)",6.37926397063668,7.40014147253764,28.4028283025855,0
"s(wind_min)",1.04280019554295,1.08392325051705,10.9677334691186,0.000472491544097675
"s(wind_sd)",4.35716375330785,5.29695926287702,12.2349928333367,0
"s(water_soil_mean)",3.54027817787697,4.41999964198575,9.96323322229817,0
"s(water_soil_sd)",6.20262728836215,6.93372970775032,11.1066704102222,0
"s(savanna)",4.15427529249069,5.18015719857403,6.50374251744381,-3.82060599601886e-07
"s(forest_plantation)",5.36695472619748,6.28280898663199,5.24105514770479,9.54009895681729e-06
"s(grassland)",1.9324842797866,2.41439336640567,40.0152766771198,0
"s(pasture)",1.0613107949955,1.11923609147894,4.21641988633864,0.0313469509682879
"s(mosaic_uses)",6.17453087020785,7.2485673259906,37.043733673212,0
"s(urban)",1.0269686447086,1.05327964867373,1.24519552161373,0.257631484622696
"s(soybean)",2.55687780426936,3.18436468964167,2.91175227054745,0.0245590880180402
"s(non_vegetated)",4.82037386947167,5.7155012393184,11.7187734945463,0
"s(forest)",6.11580275418161,7.19189410753164,8.65502432764388,0
"s(temporary_crop)",7.46670713368557,8.27965423268734,7.83504285035801,0
"s(perennial_crop)",5.7092351429072,6.602894319623,7.22448199302713,0
"s(water)",4.45995566214993,5.39175147540232,3.1178129921396,0.00670872254570465
"s(wet_herbaceous)",5.98948242900492,7.08260802393738,25.4486603095696,0
"s(NDVI)",3.58581948290277,4.50358862446578,5.42842125962772,0.000214733581403725
"s(pop)",3.93804012028661,4.83565767638274,6.50668922631352,5.38648436304578e-06
"s(elevation)",8.13711434684902,8.80623170936742,85.3988926891808,0
"s(aspect)",2.32733816369289,3.06221010842091,18.7896280129405,0
"s(TPI)",1.74863207252359,2.26330239268081,4.61942487202279,0.010763982227475
"s(TRI)",7.96738327523136,8.67939445677949,189.926856078339,0
