"Term","EDF","Ref_DF","F_stat","P_value"
"te(month,x,y)",491.554489761535,518.736562284046,289.352966891609,0
"s(t)",18.7856838444507,18.9932152181741,489.903030161213,0
"s(months_since_fire)",13.5317168708408,13.9291856976648,4710.18156458502,0
"s(dewpoint_temp_sd)",6.69417143712117,7.43570847726194,71.3491539739874,0
"s(pot_evap_sd)",8.59865886872357,8.89968473379497,145.313359120098,0
"s(precip_min)",4.61625620977014,5.45945363775229,12.3520162068432,0
"s(solrad_mean)",7.83951184406837,8.46791024566482,390.285559296789,0
"s(total_evap_max)",7.93318813476065,8.62223379206074,8.51372172622256,0
"s(wind_sd)",7.19056828980956,7.78900252815238,32.2505055383481,0
"s(water_soil_mean)",8.88471492556498,8.99559574973232,118.607210105761,0
"s(water_soil_sd)",5.91288692657526,6.68237992378404,77.5103750314949,0
"s(savanna)",8.80963564952672,8.98876051506485,315.498259799938,0
"s(grassland)",8.65929612759449,8.95646899658285,97.5267673086396,0
"s(pasture)",8.62605789424565,8.95352341971584,48.1143441541443,0
"s(soybean)",5.85640884869326,6.79634692273952,5.54870883925775,-3.34996708661883e-06
"s(forest)",7.37460050338036,8.27451358849558,75.14029820234,0
"s(temporary_crop)",7.17488659118411,8.05300251346968,14.4441455960596,0
"s(wet_herbaceous)",8.07068264959455,8.74142288967505,92.4673029331356,0
"s(NDVI)",7.91691782068552,8.47842452821067,378.206107821838,0
"s(pop)",6.86861359491147,7.806381015624,19.5557498324479,0
"s(elevation)",8.85652342013195,8.99409455500397,330.162653200345,0
"s(TPI)",8.68198446076009,8.95962550892567,80.9792463391056,0
"s(TRI)",8.73056294548215,8.97380028431685,423.622378050003,0
