"Term","EDF","Ref_DF","F_stat","P_value"
"te(month,x,y)",490.29347305299,518.39362168638,197.92195949098,0
"s(t)",18.9566275215615,18.9997020189401,1139.23918763595,0
"s(months_since_fire)",13.6135764828852,13.9508915864221,9529.68040752237,0
"s(dewpoint_temp_sd)",4.31948738713538,5.284630031358,44.0951975945705,0
"s(pot_evap_sd)",7.95598575951006,8.48380167845689,28.4052876989036,0
"s(precip_min)",4.64152735217313,5.48510867912991,8.54867636246021,0
"s(solrad_mean)",8.19945969982184,8.71377219417417,74.6760977395486,0
"s(total_evap_max)",5.91209641325671,6.94871765600258,25.5032500124852,0
"s(wind_min)",6.01778189072106,6.72948420926301,64.2587369551433,0
"s(wind_sd)",5.3855749087208,6.27177857708096,2.39606789877474,0.0403707771102105
"s(water_soil_mean)",8.2471551622526,8.83449622811054,27.853538528489,0
"s(water_soil_sd)",6.04326715859155,6.79575552989024,7.60895845481863,0
"s(savanna)",7.2899349753368,8.30771169261852,69.096585317053,0
"s(grassland)",8.40775421602855,8.87548736095387,136.005994750384,0
"s(pasture)",8.67951590721583,8.96555973789561,30.9864581954546,0
"s(sugar_cane)",8.65195017292866,8.88326083053344,41.4303744054051,0
"s(mosaic_uses)",8.48617379531209,8.90102212030745,75.8347679664554,0
"s(urban)",7.35502958305176,8.07921018486775,20.3278881234095,0
"s(soybean)",8.0654017272015,8.67952117205869,30.1080203803352,0
"s(non_vegetated)",7.86955812289501,8.52498042954051,17.1326860698903,0
"s(forest)",7.45302031626031,8.32925376560208,101.898974631023,0
"s(temporary_crop)",5.06818487734467,6.06920163488591,73.192178414822,0
"s(perennial_crop)",5.17846230467463,6.05334218212333,8.7855470301296,0
"s(water)",7.17286415244583,8.02491848386873,11.9917329796788,0
"s(wet_herbaceous)",8.59330631231064,8.94478263382276,48.7388495501558,0
"s(NDVI)",7.41385315737908,8.1054312224927,193.31212765756,0
"s(pop)",7.42757429345497,8.2619559904538,38.944242859746,0
"s(elevation)",8.90633883817539,8.99718578541379,235.925035278697,0
"s(aspect)",7.79915264149962,8.63295704390927,16.3585017066114,0
"s(TPI)",8.92051553863055,8.99724474486995,248.03576297765,0
"s(TRI)",7.48381615466779,8.39247366791214,147.488607441709,0
