"Term","EDF","Ref_DF","F_stat","P_value"
"te(month,x,y)",506.793861380504,527.632590490478,220.376703633058,0
"s(t)",18.9680898584367,18.999835123841,924.820072810893,0
"s(months_since_fire)",13.821545156514,13.9892363189613,8406.19817500938,0
"s(dewpoint_temp_sd)",7.81477348234802,8.30875714300642,134.735042032228,0
"s(pot_evap_sd)",7.06516248140919,7.67348065887431,154.5605121286,0
"s(precip_min)",6.57834881595059,7.43867212941074,22.1403474566655,0
"s(solrad_mean)",7.39684519697709,8.1332925951663,38.4354836650033,0
"s(total_evap_max)",7.84458873446155,8.51214175737127,21.9524478957302,0
"s(wind_min)",6.47378569157155,7.24093261369354,54.0773143179992,0
"s(wind_sd)",7.74902528923178,8.2921026097785,34.72235635541,0
"s(water_soil_mean)",8.74445124587886,8.96980475111637,42.151531088936,0
"s(water_soil_sd)",5.26036267151278,6.16556999506804,10.5804782632252,0
"s(savanna)",8.86646193966756,8.99406767605054,243.884957516851,0
"s(forest_plantation)",8.70469623857552,8.96547647237222,57.7798316854532,0
"s(grassland)",7.51447343577488,8.37303631777811,114.627508743028,0
"s(pasture)",8.68919853304964,8.97026210031396,450.999465121,0
"s(sugar_cane)",7.77024169292395,8.00666341668611,64.8992761994424,0
"s(mosaic_uses)",8.26532257274782,8.81332674731975,326.232472158065,0
"s(non_vegetated)",6.66669636979315,7.51454974770517,149.766878675882,0
"s(forest)",8.0391095226186,8.70719905887568,233.014049166872,0
"s(temporary_crop)",8.39308589717569,8.855788786451,67.7878007464075,0
"s(perennial_crop)",1.04832241438557,1.09492148229798,12.3102742870217,0.000301062797947005
"s(water)",8.51948347087588,8.89807630086836,40.6915650391723,0
"s(wet_herbaceous)",8.77337273158482,8.98264721754252,40.451820358023,0
"s(NDVI)",7.77556138958089,8.41224199206698,346.541471394523,0
"s(pop)",7.83629887940097,8.55202193650831,52.0350046353921,0
"s(elevation)",8.85384139358004,8.99362375387217,342.142183806974,0
"s(aspect)",8.54537539889681,8.94066978692943,70.5748728327414,0
"s(TRI)",8.70649249545563,8.96949062503276,361.66347177737,0
