"Term","EDF","Ref_DF","F_stat","P_value"
"te(month,x,y)",527.555971705639,538.498745666016,702.908281908219,0
"s(t)",18.8839050573418,18.9979918693761,1095.75755961645,0
"s(months_since_fire)",13.3648900716929,13.8745101279036,1528.34648172419,0
"s(dewpoint_temp_sd)",7.14215370617205,7.79410082315577,56.9356274132548,0
"s(pot_evap_sd)",8.47629114287627,8.83660440113447,222.938122956294,0
"s(precip_min)",5.25396765864213,6.10128708590961,25.021561607544,0
"s(solrad_mean)",8.19997690223766,8.71676103418601,609.72437692742,0
"s(total_evap_max)",6.64750393177408,7.64805158580299,33.1656563894625,0
"s(wind_min)",7.37933294479482,8.03908283739009,95.0899553763374,0
"s(wind_sd)",7.76969041523425,8.27058181796521,89.8300251541774,0
"s(water_soil_mean)",8.88692414835132,8.99583269501666,235.480090120888,0
"s(water_soil_sd)",6.63506081626758,7.31406075526567,91.3575294643376,0
"s(savanna)",8.8712432828762,8.9946612794913,47.8621582068929,0
"s(grassland)",8.87637750841306,8.99390961240888,63.9423490749165,0
"s(pasture)",8.73933062056014,8.97702410342148,35.5635530722403,0
"s(sugar_cane)",7.9966052989648,8.18320477248304,72.1605669622656,0
"s(mosaic_uses)",8.54855091312093,8.92245626682305,483.228449578796,0
"s(urban)",5.61870348383812,6.41075479995263,14.9500638746293,0
"s(soybean)",8.03652522423939,8.66273560394638,13.1472447888349,0
"s(non_vegetated)",8.12182857204643,8.69136978745997,57.630235180536,0
"s(forest)",7.2806353633564,8.20551199572594,21.8613117716693,0
"s(temporary_crop)",8.19699145901752,8.76252506319249,41.4987057199115,0
"s(perennial_crop)",7.41153772704237,8.20532925514406,10.6386773370789,0
"s(water)",7.93741177566685,8.59460523937464,18.8835444837729,0
"s(wet_herbaceous)",8.79660463629037,8.98567528561309,23.6026211179777,0
"s(NDVI)",7.56086245017912,8.21580935206226,381.955908907476,0
"s(pop)",7.80260570485088,8.52941819584412,22.0728198671666,0
"s(elevation)",8.89957595228649,8.99704118243428,512.874916745653,0
"s(TPI)",8.89389544691161,8.99522693941771,275.127262263286,0
"s(TRI)",8.72580509994404,8.97284325496441,809.824602502459,0
