"r1","r2","backward","forward","delta_Z","symmetry"
1,3,-21.4169250280565,-20.9024988216064,0.5144262064501,"Approximately symmetric"
2,5,-19.0958343895013,-19.2351392310149,0.139304841513603,"Approximately symmetric"
3,5,-16.4647666849727,-13.9262687691556,2.5384979158171,"Moderately asymmetric"
4,5,-15.1103635048296,-15.2006048425296,0.0902413377000002,"Approximately symmetric"
1,5,-14.3330597557489,-11.9414361873659,2.391623568383,"Moderately asymmetric"
2,3,-10.0713835052084,-12.6081860349111,2.5368025297027,"Moderately asymmetric"
3,4,-8.94355969760078,-10.4802169375682,1.53665723996742,"Moderately asymmetric"
1,4,5.86733837594464,8.42989802414799,2.56255964820335,"Moderately asymmetric"
1,2,-4.56937026374871,-8.26632026488338,3.69695000113467,"Strongly asymmetric"
2,4,0.427992465098703,0.103885329172855,0.324107135925848,"Approximately symmetric"
