"r1","r2","forward","backward","delta_Z","symmetry"
1,3,-21.8790130211897,-21.5475226555413,0.331490365648399,"Approximately symmetric"
2,5,-20.5593345936156,-12.9978122756063,7.5615223180093,"Strongly asymmetric"
4,5,-14.0404279685475,-20.1417278475916,6.1012998790441,"Strongly asymmetric"
1,5,-18.8799269232873,-12.362943995744,6.5169829275433,"Strongly asymmetric"
1,4,17.7543533116243,3.56210465647466,14.1922486551496,"Strongly asymmetric"
3,5,-15.6802330138585,-13.0793483386696,2.6008846751889,"Moderately asymmetric"
3,4,-12.2012703011895,-10.0543090481038,2.1469612530857,"Moderately asymmetric"
2,3,-11.7337869383809,-11.8057551632014,0.0719682248205,"Approximately symmetric"
1,2,-7.71155321434237,-3.66735570924294,4.04419750509943,"Strongly asymmetric"
2,4,2.63071091857567,-3.84987731705693,6.4805882356326,"Strongly asymmetric"
