"from","to","z"
"3","3",69.5810101770209
"4","4",46.791966582013
"1","1",40.7836641229579
"5","5",39.9546827066536
"2","2",34.7465657214675
"1","3",-21.8790130211897
"3","1",-21.5475226555413
"2","5",-20.5593345936156
"5","4",-20.1417278475916
"1","5",-18.8799269232873
"1","4",17.7543533116243
"3","5",-15.6802330138585
"4","5",-14.0404279685475
"5","3",-13.0793483386696
"5","2",-12.9978122756063
"5","1",-12.362943995744
"3","4",-12.2012703011895
"3","2",-11.8057551632014
"2","3",-11.7337869383809
"4","3",-10.0543090481038
"1","2",-7.71155321434237
"4","2",-3.84987731705693
"2","1",-3.66735570924294
"4","1",3.56210465647466
"2","4",2.63071091857567
